PDGid,WP,year,period,ptmin,ptmax,etamin,etamax,SF,SFerr
13,mediumID,2016,BCDEF,30,40,-0.5,-0.3,0.995002,0.00692032
13,mediumID,2016,BCDEF,30,40,-0.3,-0.2,0.984461,0.00544042
13,mediumID,2016,BCDEF,30,40,-0.2,0,0.993416,0.00475825
13,mediumID,2016,BCDEF,30,40,0,0.2,0.994355,0.00483056
13,mediumID,2016,BCDEF,30,40,0.2,0.3,0.986635,0.00413744
13,mediumID,2016,BCDEF,30,40,0.3,0.5,0.99632,0.00674447
13,mediumID,2016,BCDEF,30,40,0.5,0.8,0.997693,0.00399794
13,mediumID,2016,BCDEF,30,40,0.8,1.2,0.996449,0.00478699
13,mediumID,2016,BCDEF,30,40,1.2,1.4,0.998511,0.00465983
13,mediumID,2016,BCDEF,30,40,1.4,1.5,0.999568,0.00361042
13,mediumID,2016,BCDEF,30,40,1.5,1.6,1.0013,0.00271479
13,mediumID,2016,BCDEF,30,40,1.6,1.7,0.999556,0.00227595
13,mediumID,2016,BCDEF,30,40,1.7,2,0.982132,0.00364686
13,mediumID,2016,BCDEF,30,40,2,2.1,0.959345,0.00302557
13,mediumID,2016,BCDEF,30,40,2.1,2.2,0.883509,0.00428513
13,mediumID,2016,BCDEF,30,40,2.2,2.3,0.963438,0.00337364
13,mediumID,2016,BCDEF,30,40,2.3,2.4,0.990185,0.00495705
13,mediumID,2016,BCDEF,40,50,-2.4,-2.3,0.986616,0.00405193
13,mediumID,2016,BCDEF,40,50,-2.3,-2.2,0.967241,0.00319382
13,mediumID,2016,BCDEF,40,50,-2.2,-2.1,0.897339,0.00413834
13,mediumID,2016,BCDEF,40,50,-2.1,-2,0.952402,0.00360806
13,mediumID,2016,BCDEF,40,50,-2,-1.7,0.980906,0.00140591
13,mediumID,2016,BCDEF,40,50,-1.7,-1.6,0.996598,0.00172231
13,mediumID,2016,BCDEF,40,50,-1.6,-1.5,0.995824,0.00631682
13,mediumID,2016,BCDEF,40,50,-1.5,-1.4,0.994716,0.00224525
13,mediumID,2016,BCDEF,40,50,-1.4,-1.2,0.998459,0.00873505
13,mediumID,2016,BCDEF,40,50,-1.2,-0.8,0.996267,0.00123653
13,mediumID,2016,BCDEF,40,50,-0.8,-0.5,0.995668,0.00111019
13,mediumID,2016,BCDEF,40,50,-0.5,-0.3,0.997767,0.00141821
13,mediumID,2016,BCDEF,40,50,-0.3,-0.2,0.985163,0.00275985
13,mediumID,2016,BCDEF,40,50,-0.2,0,0.993495,0.00228644
13,mediumID,2016,BCDEF,40,50,0,0.2,0.996132,0.00200737
13,mediumID,2016,BCDEF,40,50,0.2,0.3,0.989162,0.00223334
13,mediumID,2016,BCDEF,40,50,0.3,0.5,0.997384,0.00222674
13,mediumID,2016,BCDEF,40,50,0.5,0.8,0.997184,0.00136604
13,mediumID,2016,BCDEF,40,50,0.8,1.2,0.996904,0.00161706
13,mediumID,2016,BCDEF,40,50,1.2,1.4,1.00041,0.00328027
13,mediumID,2016,BCDEF,40,50,1.4,1.5,1.00202,0.004309
13,mediumID,2016,BCDEF,40,50,1.5,1.6,1.00295,0.00498683
13,mediumID,2016,BCDEF,40,50,1.6,1.7,1.00225,0.004305
13,mediumID,2016,BCDEF,40,50,1.7,2,0.985208,0.00276059
13,mediumID,2016,BCDEF,40,50,2,2.1,0.960784,0.00264119
13,mediumID,2016,BCDEF,40,50,2.1,2.2,0.898759,0.00382496
13,mediumID,2016,BCDEF,40,50,2.2,2.3,0.960436,0.00286395
13,mediumID,2016,BCDEF,40,50,2.3,2.4,0.985909,0.00895361
13,mediumID,2016,BCDEF,50,60,-2.4,-2.3,0.980067,0.0109469
13,mediumID,2016,BCDEF,50,60,-2.3,-2.2,0.964975,0.00921879
13,mediumID,2016,BCDEF,50,60,-2.2,-2.1,0.889184,0.00893083
13,mediumID,2016,BCDEF,50,60,-2.1,-2,0.95805,0.00602236
13,mediumID,2016,BCDEF,50,60,-2,-1.7,0.979902,0.00223399
13,mediumID,2016,BCDEF,50,60,-1.7,-1.6,0.994058,0.00349801
13,mediumID,2016,BCDEF,50,60,-1.6,-1.5,0.993821,0.00369322
13,mediumID,2016,BCDEF,50,60,-1.5,-1.4,0.993005,0.00380544
13,mediumID,2016,BCDEF,50,60,-1.4,-1.2,0.993545,0.00283279
13,mediumID,2016,BCDEF,50,60,-1.2,-0.8,0.991003,0.00226986
13,mediumID,2016,BCDEF,50,60,-0.8,-0.5,0.992437,0.00269489
13,mediumID,2016,BCDEF,50,60,-0.5,-0.3,0.996044,0.00376167
13,mediumID,2016,BCDEF,50,60,-0.3,-0.2,0.976989,0.00555488
13,mediumID,2016,BCDEF,50,60,-0.2,0,0.989814,0.00342786
13,mediumID,2016,BCDEF,50,60,0,0.2,0.990385,0.00354237
13,mediumID,2016,BCDEF,50,60,0.2,0.3,0.980959,0.00529249
13,mediumID,2016,BCDEF,50,60,0.3,0.5,0.994771,0.0034754
13,mediumID,2016,BCDEF,50,60,0.5,0.8,0.990684,0.00261801
13,mediumID,2016,BCDEF,50,60,0.8,1.2,0.99571,0.00218981
13,mediumID,2016,BCDEF,50,60,1.2,1.4,0.9891,0.00455592
13,mediumID,2016,BCDEF,50,60,1.4,1.5,0.985406,0.00691565
13,mediumID,2016,BCDEF,50,60,1.5,1.6,0.99644,0.00643462
13,mediumID,2016,BCDEF,50,60,1.6,1.7,0.998166,0.00542446
13,mediumID,2016,BCDEF,50,60,1.7,2,0.98494,0.00238357
13,mediumID,2016,BCDEF,50,60,2,2.1,0.960516,0.00582541
13,mediumID,2016,BCDEF,50,60,2.1,2.2,0.897761,0.00880716
13,mediumID,2016,BCDEF,50,60,2.2,2.3,0.963863,0.0078842
13,mediumID,2016,BCDEF,50,60,2.3,2.4,0.991518,0.0116234
13,mediumID,2016,BCDEF,60,120,-2.4,-2.3,0.992673,0.0158958
13,mediumID,2016,BCDEF,60,120,-2.3,-2.2,0.971158,0.0176791
13,mediumID,2016,BCDEF,60,120,-2.2,-2.1,0.918951,0.0173792
13,mediumID,2016,BCDEF,60,120,-2.1,-2,0.974706,0.0131976
13,mediumID,2016,BCDEF,60,120,-2,-1.7,0.987138,0.00474949
13,mediumID,2016,BCDEF,60,120,-1.7,-1.6,0.993223,0.00747671
13,mediumID,2016,BCDEF,60,120,-1.6,-1.5,1.00223,0.00682707
13,mediumID,2016,BCDEF,60,120,-1.5,-1.4,0.995377,0.00884092
13,mediumID,2016,BCDEF,60,120,-1.4,-1.2,0.998408,0.00654423
13,mediumID,2016,BCDEF,60,120,-1.2,-0.8,0.998246,0.00738399
13,mediumID,2016,BCDEF,60,120,-0.8,-0.5,1.00512,0.0116212
13,mediumID,2016,BCDEF,60,120,-0.5,-0.3,1.0057,0.0114685
13,mediumID,2016,BCDEF,60,120,-0.3,-0.2,0.99017,0.0190928
13,mediumID,2016,BCDEF,60,120,-0.2,0,0.992787,0.0137879
13,mediumID,2016,BCDEF,60,120,0,0.2,0.993095,0.0130191
13,mediumID,2016,BCDEF,60,120,0.2,0.3,0.998169,0.0183831
13,mediumID,2016,BCDEF,60,120,0.3,0.5,1.0052,0.0116146
13,mediumID,2016,BCDEF,60,120,0.5,0.8,0.998578,0.0152252
13,mediumID,2016,BCDEF,60,120,0.8,1.2,0.9934,0.00774269
13,mediumID,2016,BCDEF,60,120,1.2,1.4,0.991027,0.0121345
13,mediumID,2016,BCDEF,60,120,1.4,1.5,1,0.00491606
13,mediumID,2016,BCDEF,60,120,1.5,1.6,1.00577,0.0107119
